type,limit,total
physpreset,276,0
physconstraints,128,0
destructibledef,128,0
xanim,25000,3
xmodel,10240,811
xmodelmesh,34816,387
material,20480,1027
computeshaderset,256,0
techset,1024,22
image,49152,1018
sound,32,1
sound_patch,16,0
col_map,2,0
com_map,2,0
game_map,2,0
map_ents,2,0
gfx_map,2,0
lightdef,32,0
lensflaredef,64,0
ui_map,0,0
font,16,0
fonticon,16,0
localize,25600,0
weapon,1536,0
weapondef,0,0
weaponvariant,0,0
weaponfull,0,0
cgmediatable,5,0
playersoundstable,16,1
playerfxtable,16,1
sharedweaponsounds,64,0
attachment,128,0
attachmentunique,2148,0
weaponcamo,512,0
customizationtable,8,2
customizationtable_feimages,8,0
customizationtablecolor,1024,0
snddriverglobals,1,0
fx,1875,12
tagfx,64,0
klf,64,0
impactsfxtable,256,0
impactsoundstable,64,0
player_character,8,0
aitype,96,0
character,150,8
xmodelalias,48,1
rawfile,5000,67
stringtable,200,13
structuredtable,96,0
leaderboarddef,256,0
ddl,64,0
glasses,2,0
texturelist,8,0
scriptparsetree,1024,18
keyvaluepairs,64,1
vehicle,64,0
addon_map_ents,1,0
tracer,100,0
slug,5,0
surfacefxtable,64,4
surfacesounddef,256,59
footsteptable,32,5
entityfximpacts,256,0
entitysoundimpacts,256,0
zbarrier,16,0
vehiclefxdef,32,0
vehiclesounddef,32,0
typeinfo,0,0
scriptbundle,1024,0
scriptbundlelist,64,0
rumble,256,0
bulletpenetration,1,0
locdmgtable,1,0
aimtable,12,0
animselectortable,64,0
animmappingtable,64,0
animstatemachine,64,0
behaviortree,64,0
behaviorstatemachine,128,0
ttf,48,0
sanim,1024,0
lightdescription,500,0
shellshock,64,0
xcam,512,0
bgcache,32,1
texturecombo,16,1
flametable,16,0
bitfield,52,0
attachmentcosmeticvariant,640,0
maptable,25,0
maptableloadingimages,25,0
medal,768,0
medaltable,32,0
objective,256,0
objectivelist,64,0
umbra_tome,0,0
navmesh,2,0
navvolume,2,0
binaryhtml,2048,0
laser,50,0
beam,50,0
streamerhint,50,0
